year,population,gdp,co2,co2_including_luc,co2_per_capita,ghg_per_capita,cement_co2,coal_co2,oil_co2,gas_co2,flaring_co2,land_use_change_co2,methane,nitrous_oxide,share_global_co2,cumulative_co2
1990,17126301.0,464137000000.0,278.16,259.54,16.242,31.08,3.463,141.877,88.777,34.455,7.273,-18.62,158.576,73.174,1.224,7469.591
1991,17353191.0,461302000000.0,279.534,222.567,16.109,29.602,3.183,146.083,88.177,32.786,7.001,-56.967,159.446,72.551,1.206,7749.125
1992,17549282.0,478634000000.0,284.529,306.822,16.213,31.741,2.923,150.049,87.849,33.97,7.304,22.293,157.682,71.629,1.263,8033.654
1993,17722905.0,501525000000.0,288.874,331.081,16.299,31.973,3.005,150.096,90.318,35.67,7.137,42.207,155.667,71.312,1.269,8322.528
1994,17897430.0,527993000000.0,293.701,319.49,16.41,31.15,3.484,151.376,91.854,37.032,6.88,25.788,154.743,72.34,1.277,8616.229
1995,18095338.0,549039000000.0,305.056,494.442,16.858,35.682,3.358,155.735,96.068,39.847,7.061,189.387,154.361,70.983,1.296,8921.285
1996,18305299.0,574766000000.0,311.941,512.829,17.041,35.454,3.244,160.388,98.664,39.781,6.761,200.888,148.104,68.297,1.286,9233.226
1997,18504909.0,601473000000.0,320.333,455.836,17.311,34.022,3.185,167.683,98.381,41.09,6.688,135.503,149.195,67.682,1.313,9553.56
1998,18701707.0,634847000000.0,334.136,535.157,17.867,36.375,3.475,177.614,99.142,43.506,6.902,201.021,152.491,72.333,1.375,9887.694
1999,18909979.0,664521000000.0,343.959,493.981,18.189,36.839,3.52,183.231,100.809,45.564,7.165,150.022,168.302,88.458,1.384,10231.654
2000,19132473.0,692059000000.0,350.008,553.516,18.294,38.94,3.621,185.797,102.65,46.61,7.953,203.508,179.324,94.066,1.372,10581.663
2001,19365437.0,713890000000.0,357.784,466.207,18.475,37.497,3.541,190.082,103.174,49.326,8.173,108.423,191.321,104.127,1.392,10939.446
2002,19595357.0,747066000000.0,362.537,425.897,18.501,35.418,3.488,191.147,105.452,50.589,8.007,63.36,184.513,97.64,1.38,11301.982
2003,19819450.0,774451000000.0,369.63,591.15,18.65,35.454,3.584,195.386,109.666,49.912,7.158,221.52,141.664,61.223,1.336,11671.612
2004,20046680.0,809792000000.0,383.159,566.634,19.113,36.69,3.555,202.225,113.748,52.83,6.858,183.475,163.285,82.689,1.338,12054.771
2005,20294490.0,840092000000.0,386.176,458.124,19.029,31.186,3.664,200.715,116.504,54.458,6.915,71.948,143.842,61.756,1.304,12440.947
2006,20590565.0,866679000000.0,392.36,417.666,19.055,32.255,3.888,204.401,117.364,55.777,7.046,25.306,162.956,79.65,1.281,12833.308
2007,20954545.0,911251000000.0,399.475,477.433,19.064,33.117,3.972,203.559,119.32,61.006,7.505,77.958,160.142,75.418,1.267,13232.782
2008,21370595.0,937890000000.0,404.84,669.038,18.944,35.279,3.863,204.688,122.931,61.744,7.484,264.197,141.992,60.694,1.262,13637.623
2009,21783014.0,963130000000.0,407.094,512.99,18.689,31.815,3.829,206.066,122.373,63.087,7.969,105.896,146.943,64.827,1.291,14044.717
2010,22141583.0,993854000000.0,405.131,929.393,18.297,38.727,3.549,200.552,124.551,64.246,8.194,524.261,137.338,53.678,1.215,14449.848
2011,22479778.0,1024000000000.0,403.858,671.389,17.965,36.809,3.496,192.141,129.802,66.46,7.883,267.531,188.392,102.516,1.17,14853.706
2012,22852649.0,1062660000000.0,406.197,563.787,17.775,34.151,3.518,189.154,133.681,67.7,8.295,157.591,189.187,103.196,1.161,15259.902
2013,23236271.0,1086070000000.0,399.068,557.515,17.174,29.13,3.294,176.363,137.311,69.642,8.855,158.448,140.812,64.104,1.13,15658.97
2014,23595599.0,1113890000000.0,392.729,475.783,16.644,28.005,3.138,168.146,137.536,70.591,9.281,83.054,149.044,76.115,1.108,16051.698
2015,23947998.0,1139300000000.0,401.497,436.93,16.765,26.555,3.076,174.205,137.952,71.37,10.835,35.434,149.469,72.526,1.134,16453.195
2016,24329961.0,1169970000000.0,410.388,500.018,16.868,26.901,2.931,179.562,137.699,73.804,12.447,89.63,128.078,59.351,1.159,16863.584
2017,24731044.0,1197830000000.0,413.818,497.225,16.733,27.727,3.019,176.932,139.838,75.229,14.869,83.407,149.094,79.701,1.15,17277.4
2018,25119700.0,1231580000000.0,415.591,464.082,16.544,26.367,2.942,169.401,144.034,78.346,16.939,48.49,149.063,78.319,1.131,17692.992
2019,25482714.0,1255510000000.0,415.77,453.647,16.316,24.622,3.04,164.952,143.362,80.305,20.212,37.877,134.878,64.518,1.121,18108.762
2020,25743787.0,1232260000000.0,399.184,484.759,15.506,23.628,2.82,156.681,135.404,83.221,17.284,85.575,118.423,52.413,1.136,18507.945
2021,25956416.0,1296710000000.0,389.02,463.973,14.987,23.48,2.9,151.894,134.679,80.065,15.414,74.954,123.757,60.32,1.052,18896.965
2022,26200987.0,1344250000000.0,384.362,454.15,14.67,23.127,2.818,146.069,133.807,80.412,17.14,69.788,126.538,62.494,1.031,19281.328
2023,26451125.0,,382.972,453.066,14.478,21.965,2.818,142.666,141.596,74.636,17.14,70.094,113.681,52.859,1.013,19664.301
