name,year,co2_per_capita,co2,ghg_per_capita
Australia,1990,16.242,278.16,31.08
Australia,1991,16.109,279.534,29.602
Australia,1992,16.213,284.529,31.741
Australia,1993,16.299,288.874,31.973
Australia,1994,16.41,293.701,31.15
Australia,1995,16.858,305.056,35.682
Australia,1996,17.041,311.941,35.454
Australia,1997,17.311,320.333,34.022
Australia,1998,17.867,334.136,36.375
Australia,1999,18.189,343.959,36.839
Australia,2000,18.294,350.008,38.94
Australia,2001,18.475,357.784,37.497
Australia,2002,18.501,362.537,35.418
Australia,2003,18.65,369.63,35.454
Australia,2004,19.113,383.159,36.69
Australia,2005,19.029,386.176,31.186
Australia,2006,19.055,392.36,32.255
Australia,2007,19.064,399.475,33.117
Australia,2008,18.944,404.84,35.279
Australia,2009,18.689,407.094,31.815
Australia,2010,18.297,405.131,38.727
Australia,2011,17.965,403.858,36.809
Australia,2012,17.775,406.197,34.151
Australia,2013,17.174,399.068,29.13
Australia,2014,16.644,392.729,28.005
Australia,2015,16.765,401.497,26.555
Australia,2016,16.868,410.388,26.901
Australia,2017,16.733,413.818,27.727
Australia,2018,16.544,415.591,26.367
Australia,2019,16.316,415.77,24.622
Australia,2020,15.506,399.184,23.628
Australia,2021,14.987,389.02,23.48
Australia,2022,14.67,384.362,23.127
Australia,2023,14.478,382.972,21.965
China,1990,2.154,2484.855,3.649
China,1991,2.226,2606.096,3.678
China,1992,2.305,2730.788,3.748
China,1993,2.44,2921.651,3.838
China,1994,2.567,3103.739,4.051
China,1995,2.755,3361.637,4.239
China,1996,2.851,3508.818,4.349
China,1997,2.833,3515.594,4.28
China,1998,2.69,3364.587,4.141
China,1999,2.823,3557.275,4.232
China,2000,2.874,3649.227,4.181
China,2001,2.916,3728.51,4.159
China,2002,3.188,4103.046,4.402
China,2003,3.74,4841.119,4.988
China,2004,4.007,5217.351,5.333
China,2005,4.49,5882.106,5.853
China,2006,4.927,6494.331,6.336
China,2007,5.267,6983.547,6.685
China,2008,5.624,7501.498,7.052
China,2009,5.878,7891.078,7.321
China,2010,6.378,8620.576,7.819
China,2011,7.008,9532.332,8.518
China,2012,7.141,9779.292,8.605
China,2013,7.22,9956.329,8.685
China,2014,7.198,9990.257,8.648
China,2015,7.065,9863.457,8.547
China,2016,6.953,9762.714,8.326
China,2017,7.085,10006.343,8.451
China,2018,7.282,10332.992,8.654
China,2019,7.526,10713.984,8.861
China,2020,7.647,10905.693,9.004
China,2021,8.026,11447.913,9.413
China,2022,7.964,11350.538,9.405
China,2023,8.367,11902.503,9.819
India,1990,0.668,577.996,1.767
India,1991,0.696,615.365,1.777
