year,co2,co2_including_luc,methane,nitrous_oxide
1990,22728.988,27705.59,7925.226,2274.684
1991,23186.102,28156.088,7899.296,2255.815
1992,22528.172,27786.176,7893.853,2272.665
1993,22755.787,27729.648,7912.445,2258.867
1994,22992.947,28882.324,7984.747,2295.582
1995,23532.084,28964.484,8103.435,2358.856
1996,24258.168,30270.709,8190.865,2407.678
1997,24401.906,31808.471,8191.747,2374.1
1998,24303.777,30448.242,8126.503,2401.021
1999,24853.729,30856.643,8171.664,2412.446
2000,25510.553,30807.773,8322.955,2401.121
2001,25706.293,30471.537,8318.738,2404.05
2002,26276.869,31404.986,8310.901,2435.91
2003,27669.49,33745.172,8541.279,2452.194
2004,28632.506,34036.496,8726.553,2534.044
2005,29614.395,34505.375,8883.688,2558.266
2006,30628.396,35960.543,9055.228,2596.698
2007,31534.645,36129.227,9137.519,2672.009
2008,32074.199,36954.508,9246.188,2639.518
2009,31541.922,36815.902,9195.602,2609.189
2010,33355.902,38843.812,9391.759,2671.178
2011,34504.539,39782.805,9672.067,2766.553
2012,35000.02,40651.914,9767.593,2795.043
2013,35301.656,40417.809,9742.556,2777.339
2014,35450.094,40846.285,9827.423,2811.28
2015,35404.898,40936.484,9848.547,2816.747
2016,35416.656,39822.91,9878.319,2832.302
2017,35989.898,40220.918,10041.971,2888.824
2018,36730.426,40575.145,10198.932,2885.324
2019,37104.273,40891.02,10279.053,2869.841
2020,35126.527,38565.52,10163.954,2909.539
2021,36991.734,40544.516,10330.923,2949.63
2022,37293.836,40834.871,10529.812,2975.719
2023,37791.57,41416.48,10514.614,2996.286
